Token Number,Rates,length,index_in_dataset,occurrence_number,device
0,[0.485714286],6406,0,1,
0,[],1794,1,1,
0,[],8984,2,1,
0,[],5623,3,1,
0,[],6749,4,1,
0,[],9574,5,1,
0,[],11372,6,1,
0,[],11240,7,1,
0,[],7689,8,1,
0,[],2113,9,1,
0,[],6608,10,1,
0,[],6582,11,1,
0,[],3507,12,1,
0,[],8785,13,1,
0,[],7565,14,1,
0,[],6750,15,1,
0,[],3141,16,1,
0,[],2154,17,1,
0,[],9666,18,1,
0,[],3170,19,1,
0,[],11154,20,1,
0,[],10825,21,1,
0,[],2223,22,1,
0,[],4803,23,1,
0,[],9481,24,1,
0,[],3276,25,1,
0,[],6884,26,1,
0,[],9214,27,1,
0,[],6465,28,1,
0,[],12184,29,1,
0,[],3776,30,1,
0,[],4381,31,1,
0,[],4686,32,1,
0,[],9366,33,1,
0,[],1404,34,1,
0,[],9804,35,1,
0,[],8710,36,1,
0,[],9918,37,1,
0,[],8423,38,1,
0,[],2756,39,1,
0,[],3209,40,1,
0,[],1220,41,1,
0,[],4847,42,1,
0,[],10366,43,1,
0,[],8314,44,1,
0,[],7843,45,1,
0,[],1644,46,1,
0,[],4912,47,1,
0,[],1162,48,1,
0,[],7924,49,1,
0,[],2654,50,1,
0,[],10130,51,1,
0,[],9449,52,1,
0,[],8653,53,1,
0,[],2483,54,1,
0,[],7165,55,1,
0,[],11138,56,1,
0,[],1415,57,1,
0,[],3135,58,1,
0,[],10777,59,1,
0,[],2448,60,1,
0,[],9694,61,1,
0,[],4187,62,1,
0,[],5874,63,1,
0,[],9123,64,1,
0,[],9352,65,1,
0,[],1691,66,1,
0,[],6790,67,1,
0,[],6236,68,1,
0,[],936,69,1,
0,[],7481,70,1,
0,[],6099,71,1,
0,[],2110,72,1,
0,[],5832,73,1,
0,[],6733,74,1,
0,[],3237,75,1,
0,[],9464,76,1,
0,[],9356,77,1,
0,[],5571,78,1,
0,[],10434,79,1,
0,[],4927,80,1,
0,[],11405,81,1,
0,[],4428,82,1,
0,[],4173,83,1,
0,[],8729,84,1,
0,[],2519,85,1,
0,[],2227,86,1,
0,[],2045,87,1,
0,[],7008,88,1,
0,[],8345,89,1,
0,[],1703,90,1,
