Token Number,Rates,length,index_in_dataset,occurrence_number,device
0,[],8187,9,1,
0,[],15403,80,1,
0,[],9366,33,1,
0,[],11886,10,1,
0,[],6247,93,1,
0,[],10618,126,1,
0,[],7344,66,1,
0,[],7781,94,1,
0,[],11171,129,1,
0,[],8729,84,1,
0,[],2113,9,1,
0,[],11310,161,1,
0,[],11138,56,1,
0,[],2110,72,1,
0,[],9070,132,1,
0,[],4847,42,1,
0,[],10512,78,1,
0,[],9377,176,1,
0,[],12329,31,1,
0,[],15412,185,1,
0,[],9356,77,1,
0,[],6385,191,1,
0,[],6750,15,1,
0,[],12335,71,1,
0,[],6406,0,1,
0,[],15409,196,1,
0,[],4162,114,1,
0,[],8554,25,1,
0,[],2017,104,1,
0,[],13866,62,1,
0,[],7338,195,1,
0,[],6053,193,1,
0,[],8483,61,1,
0,[],1415,57,1,
0,[],2292,116,1,
0,[],13885,32,1,
0,[],3928,113,1,
0,[],11172,142,1,
0,[],5004,158,1,
0,[],10032,141,1,
0,[],6398,181,1,
0,[],7165,55,1,
0,[],9464,76,1,
0,[],3276,25,1,
0,[],4428,82,1,
0,[],24580,182,1,
0,[],11799,148,1,
0,[],2757,181,1,
0,[],2223,22,1,
0,[],10231,173,1,
0,[],1644,46,1,
0,[],8560,121,1,
0,[],10673,138,1,
0,[],7481,70,1,
0,[],3980,174,1,
0,[],7882,23,1,
0,[],2756,39,1,
0,[],7209,172,1,
0,[],3776,30,1,
0,[],9076,152,1,
0,[],12786,94,1,
0,[],3446,124,1,
0,[],10497,55,1,
0,[],5571,78,1,
0,[],9375,68,1,
0,[],5832,73,1,
0,[],7940,101,1,
0,[],4381,31,1,
0,[],3984,152,1,
0,[],6029,120,1,
0,[],10201,194,1,
0,[],9574,5,1,
0,[],11317,140,1,
0,[],6956,188,1,
0,[],7843,45,1,
0,[],9188,46,1,
0,[],24580,27,1,
0,[],8885,176,1,
0,[],11178,169,1,
0,[],5623,3,1,
0,[],20271,89,1,
0,[],9666,18,1,
0,[],12783,2,1,
0,[],5993,74,1,
0,[],12328,50,1,
0,[],5874,63,1,
0,[],1703,90,1,
0,[],6395,48,1,
0,[],5990,101,1,
0,[],5308,108,1,
0,[],23784,135,1,
0,[],10510,33,1,
0,[],5133,118,1,
0,[],10071,180,1,
0,[],12785,20,1,
0,[],6952,114,1,
0,[],8192,173,1,
0,[],14014,180,1,
0,[],12340,39,1,
0,[],3237,75,1,
0,[],8488,47,1,
0,[],3916,110,1,
0,[],3141,16,1,
0,[],1691,66,1,
0,[],6275,153,1,
11312,[0.371428571.],8187,9,2,cpu
0,[],11240,7,1,
0,[],3170,19,1,
0,[],20271,155,1,
0,[],1652,137,1,
0,[],5985,149,1,
0,[],6253,131,1,
9245,[0.371428571.],6247,93,2,cpu
0,[],4802,187,1,
0,[],8565,92,1,
18647,[0.371428571.],15412,185,2,cpu
0,[],24585,186,1,
